Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
TCTEX1D2;ENSG00000213123;NDNE;3;195975101;196045170;-1;-;-;-;-;-;-;-0,702;1,439;0,00029;0,00011
CLCA2;ENSG00000137975;NDNE;1;86889769;86922241;1;-;-;-;0,82;0,35;0,3;-0,268;0,565;-0,00004;-0,00069
SCRT2;ENSG00000215397;NDNE;20;642240;656823;-1;-;-;-;-;0,02;0,08;0,319;1,475;0,00008;-0,00003
FKBP10;ENSG00000141756;NDNE;17;39968932;39979465;1;2;0,25;108,99;0,34;0,06;0,07;0,183;0,147;-0,00124;-0,00044
TTC9;ENSG00000133985;NDNE;14;71108504;71142077;1;-;-;-;1,07;0,38;0,09;-0,399;0,607;0,00014;0,00039
SLC25A35;ENSG00000125434;NDNE;17;8191081;8198661;-1;-;-;-;1,11;0,72;0,28;-1,157;-0,534;-0,00025;-0,00028
FAM114A1;ENSG00000197712;NDNE;4;38869298;38947360;1;-;-;-;0,27;0,4;0,22;1,532;1,626;-0,00009;-0,00056
NME6;ENSG00000172113;NDNE;3;48334754;48343175;-1;-;-;-;0,67;0,71;0,17;0,987;1,487;-0,00015;-0,00017
ELAVL3;ENSG00000196361;NDNE;19;11562141;11591861;-1;1;0,25;0;0,4;0,06;0;-1,475;-1,501;0,00013;-0,00051
SLC24A3;ENSG00000185052;NDNE;20;19193290;19703581;1;-;-;-;0,26;0,01;0,02;-0,106;0,207;-0,00021;-0,00031
ABTB1;ENSG00000114626;NDNE;3;127391778;127399768;1;-;-;-;-;0,06;0,03;-1,444;-0,508;0,00016;-0,00003
RUFY3;ENSG00000018189;NDNE;4;71569921;71673032;1;1;0,23;0;0,12;0,52;0,07;-1,82;-2,001;-0,0008;-0,00154
GOLGA6L2;ENSG00000174450;NDNE;15;23684645;23692381;-1;-;-;-;-;-;-;-0,568;0,427;-0,00059;-0,00137
MS4A2;ENSG00000149534;NDNE;11;59855734;59863444;1;1;0,25;0;0,47;0,99;0,64;-0,198;0,586;-0,0008;-0,00086
ZNF649;ENSG00000198093;NDNE;19;52392477;52408293;-1;-;-;-;1,32;-;-;-1,147;-1,266;-0,00192;-0,00135
FAM21A;ENSG00000099290;NDNE;10;51827648;51893269;1;-;-;-;-;-;-;1,112;0,987;-0,00009;-0,00028
BNIP2;ENSG00000140299;NDNE;15;59951345;59981733;-1;8;0,26;1364,75;-;0,06;0,06;2,227;2,164;-0,00034;-0,0003
KRTAP4-9;ENSG00000212722;NDNE;17;39261584;39262740;1;-;-;-;-;-;-;-0,572;-1,045;-;0,00003
SIGLEC8;ENSG00000105366;NDNE;19;51954101;51961710;-1;-;-;-;0,79;-;-;-0,072;-0,013;-;0,00001
LYZL2;ENSG00000151033;NDNE;10;30900718;30918691;-1;-;-;-;-;-;-;0,83;0,819;-0,00003;-0,00054
KLHL3;ENSG00000146021;NDNE;5;136953189;137071779;-1;-;-;-;0;0,04;0,02;0,631;1,054;0,00008;-0,0001
ZWINT;ENSG00000122952;NDNE;10;58116989;58121036;-1;3;0,22;395,29;0,79;0,31;0,3;0,347;0,472;0,00026;0,00021
LAX1;ENSG00000122188;NDNE;1;203734304;203745361;1;2;0,26;54,52;0,26;0,43;0,75;0,673;1,207;-0,00013;-0,0005
PLA2G4F;ENSG00000168907;NDNE;15;42433332;42448839;-1;-;-;-;0,31;0,28;0,26;-0,332;-0,561;0;-0,00043
IRF2BP1;ENSG00000170604;NDNE;19;46386866;46389376;-1;3;0,25;57,57;0;0,05;0,02;-0,24;0,014;-0,00025;-0,00022
FNIP2;ENSG00000052795;NDNE;4;159690290;159829201;1;-;-;-;0,3;-;0,25;-0,815;0,326;0,0001;0,00006
NLRP8;ENSG00000179709;NDNE;19;56459198;56499995;1;-;-;-;0,45;0,54;-;0,868;1,157;-0,00044;0,00002
EREG;ENSG00000124882;NDNE;4;75230860;75254468;1;2;0,26;11,62;0,18;0,27;0,2;0,2;-0,588;-0,00131;-0,00115
Sep-03;ENSG00000100167;NDNE;22;42372276;42394225;1;1;0,22;0;-;0,02;0,02;-0,619;1,065;0,00003;0,00027
AIM2;ENSG00000163568;NDNE;1;159032274;159116886;-1;-;-;-;0,38;0,74;0,36;-0,684;-1,467;0,0003;-0,00037
TXLNA;ENSG00000084652;NDNE;1;32645287;32663886;1;4;0,24;768,05;0,23;0;0,07;-1,592;-2,149;-0,0003;-0,00024
TEX37;ENSG00000172073;NDNE;2;88824169;88829102;1;3;0,25;649,7;1,27;0,37;0,28;-0,969;0,359;0,00001;-0,00014
CATSPERB;ENSG00000133962;NDNE;14;92047040;92247051;-1;-;-;-;0,69;0,95;0,41;0,657;0,88;0,00014;-0,00015
FKBP2;ENSG00000173486;NDNE;11;64008475;64011604;1;5;0,25;1093,83;0,12;0,06;0,02;-1,109;0,233;0,0001;0,00019
NMNAT3;ENSG00000163864;NDNE;3;139279022;139396859;-1;-;-;-;0,19;0,29;0,15;2,147;0,748;0,00015;-0,00011
SYCP2L;ENSG00000153157;NDNE;6;10748027;10979553;1;-;-;-;0,57;1,1;0,4;-0,271;-0,093;-0,00064;-0,00026
MYCL;ENSG00000116990;NDNE;1;40361098;40367928;-1;1;0,23;0;1,04;0,34;0,09;-0,586;-0,54;0,0003;0,00009
GPR114;ENSG00000159618;NDNE;16;57576333;57625593;1;-;-;-;0,2;0,42;0,18;-0,148;0,068;0,00015;-0,00043
ANAPC16;ENSG00000166295;NDNE;10;73975787;73995618;1;1;0,22;0;-;0;0;-1,403;-1,362;-0,00081;-0,00047
MUL1;ENSG00000090432;NDNE;1;20825943;20834654;-1;10;0,25;1167,85;0,14;0,02;0,08;0,144;-0,238;-0,00042;-0,00039
PEX16;ENSG00000121680;NDNE;11;45931220;45940363;-1;1;0,18;0;0,34;0,22;0,11;-0,681;-0,008;-0,00011;0,00004
TNFRSF8;ENSG00000120949;NDNE;1;12123434;12204264;1;7;0,26;8824,56;0,28;0,42;0,39;-1,386;0,523;0,00012;-0,00004
SGSM1;ENSG00000167037;NDNE;22;25202236;25323545;1;-;-;-;0,15;0,15;0,03;-1,104;0,485;-0,00057;-0,00053
HCFC1R1;ENSG00000103145;NDNE;16;3072621;3074287;-1;1;0,23;0;-;0,23;0,16;1,284;1,464;0,00017;0,00009
TRIM55;ENSG00000147573;NDNE;8;67039131;67087720;1;6;0,26;1063,68;0,3;0,37;0,17;-1,437;-1,534;-0,00044;-0,00055
KCNG1;ENSG00000026559;NDNE;20;49620193;49639666;-1;-;-;-;0;0;0,02;0,889;-0,444;-0,00091;-0,00063
SULT2A1;ENSG00000105398;NDNE;19;48373723;48389654;-1;-;-;-;-;0,56;-;1,974;1,223;-0,00041;-0,00012
OR4N5;ENSG00000184394;NDNE;14;20611895;20612821;1;-;-;-;1,24;0,67;0,1;-;-0,126;-;0,00005
LRFN3;ENSG00000126243;NDNE;19;36426260;36436669;1;-;-;-;0,09;0,03;0,02;-1,559;-2,377;-0,00202;-0,00121
STON2;ENSG00000140022;NDNE;14;81727000;81902809;-1;6;0,26;1458,06;0,53;0,21;0,13;0,232;0,041;-0,00029;-0,00037
TBC1D12;ENSG00000108239;NDNE;10;96162261;96295687;1;-;-;-;0;0,24;0,2;-0,871;-0,367;0,00017;0,00005
RBM46;ENSG00000151962;NDNE;4;155702365;155749965;1;-;-;-;0,1;0,07;0,04;-0,771;0,705;0,00011;0,00003
VDAC3;ENSG00000078668;NDNE;8;42249142;42263415;1;3;0,31;1597,07;0,31;0,58;-;-1,789;-2,442;-0,00048;-0,00068
PDCD7;ENSG00000090470;NDNE;15;65409717;65426174;-1;3;0,23;386,19;0,56;0,16;0,1;-1,71;-2,042;0,00006;-0,00066
NRTN;ENSG00000171119;NDNE;19;5823813;5828335;1;3;0,22;8794,5;0,07;0,38;0,05;-0,83;0,98;0,00022;0,00001
HAS3;ENSG00000103044;NDNE;16;69139467;69152622;1;1;0,23;0;0;0,02;0,02;-1,05;-1,157;-0,00037;-0,00006
KLHDC1;ENSG00000197776;NDNE;14;50159823;50219870;1;-;-;-;0,42;0,1;0,17;-1,26;-0,84;0,00001;0,00001
GNB3;ENSG00000111664;NDNE;12;6949118;6956557;1;4;0,2;11,38;0,42;0;0,02;-0,18;0,085;-0,00037;-0,00025
DHPS;ENSG00000095059;NDNE;19;12786531;12792716;-1;5;0,26;9757,1;0,2;0,13;0,07;-0,296;-1,624;0,00005;-0,0008
C19orf54;ENSG00000188493;NDNE;19;41246761;41257458;-1;-;-;-;1,26;0,27;0,27;-0,561;0,174;0,00041;0,00006
OSGEP;ENSG00000092094;NDNE;14;20914570;20923264;-1;4;0,24;10767,99;-;0,03;0,06;2,371;1,422;0,00003;0,00004
TMEM173;ENSG00000184584;NDNE;5;138855119;138862520;-1;4;0,31;6204,12;0,25;0,43;0,33;0,292;-0,371;-0,00038;-0,00019
KCNK13;ENSG00000152315;NDNE;14;90528109;90652201;1;-;-;-;0,04;0,03;0,08;0,647;0,742;0,00015;-0,00048
PLEKHF2;ENSG00000175895;NDNE;8;96146032;96168912;1;21;0,28;36349,43;-;0,03;0,02;-0,977;-1,016;-0,00105;-0,00053
AK7;ENSG00000140057;NDNE;14;96858448;96955764;1;-;-;-;0,73;0,25;0,09;-0,236;-0,026;0,00028;0,00016
FAM181A;ENSG00000140067;NDNE;14;94385240;94395954;1;-;-;-;0,53;0,3;0,16;-1,203;0,708;0,0001;-0,00007
MARS2;ENSG00000247626;NDNE;2;198570087;198573113;1;-;-;-;-;0,23;0,13;0,755;0,499;0,00002;0,00004
PIAS2;ENSG00000078043;NDNE;18;44388353;44500123;-1;29;0,31;18512,71;0,18;0,03;0,04;-1,634;-0,499;-0,00004;-0,00033
GSE1;ENSG00000131149;NDNE;16;85645015;85709810;1;7;0,28;2809,23;-;-;-;-0,196;0,16;0,00013;-0,00016
C2orf43;ENSG00000118961;NDNE;2;20883788;21022882;-1;-;-;-;-;-;-;0,964;-0,235;0,00036;-0,00035
DSCR3;ENSG00000157538;NDNE;21;38595721;38640262;-1;-;-;-;0,05;0,05;0,06;-0,88;-0,021;0,00029;0,00021
FAM46B;ENSG00000158246;NDNE;1;27331511;27339327;-1;1;0,22;0;0,12;0,07;0,05;-1,599;-2,061;-0,00051;-0,00001
FZD10;ENSG00000111432;NDNE;12;130647004;130650285;1;-;-;-;0,01;0;0,02;0,954;0,489;0,00055;0,00011
GPATCH2;ENSG00000092978;NDNE;1;217600334;217804424;-1;-;-;-;0,45;0,36;0,12;0,477;-0,161;-0,00023;-0,00034
VTN;ENSG00000109072;NDNE;17;26691290;26700110;-1;13;0,24;29203,72;0,17;0,5;0,21;0,42;-1,318;-0,00257;-0,001
WFDC6;ENSG00000243543;NDNE;20;44162835;44168134;-1;-;-;-;-;0,72;-;-0,833;1,672;0,00028;0,00005
SRP68;ENSG00000167881;NDNE;17;74035184;74068734;-1;3;0,26;322,94;0,18;0,03;0,03;0,376;0,146;0,00008;-0,0002
MYOZ3;ENSG00000164591;NDNE;5;150040436;150058927;1;2;0,21;54,3;0,54;0,38;0,24;-1,874;-1,423;0,00006;-0,00074
APBB3;ENSG00000113108;NDNE;5;139937853;139973337;-1;3;0,25;81,9;0,76;0,35;0,1;-1,065;-0,552;0,00002;-0,00009
ADH1A;ENSG00000187758;NDNE;4;100197524;100212185;-1;-;-;-;0,59;-;-;-0,725;0,176;0,00041;0,00023
C19orf62,BABAM1;ENSG00000105393;NDNE;19;17378159;17392058;1;43;0,31;139835,99;0,35;0,45;-;0,601;0,954;-0,00037;-0,00021
NCALD;ENSG00000104490;NDNE;8;102698771;103137135;-1;2;0,25;178,36;0;0;0;-0,051;0,087;0,00011;-0,00053
HOXB5;ENSG00000120075;NDNE;17;46668619;46671323;-1;-;-;-;0;0,04;0,02;0,163;0,174;-0,00055;0,00002
EMR3;ENSG00000131355;NDNE;19;14729929;14800839;-1;-;-;-;0,78;0,27;-;-0,448;1,121;-0,00009;-0,00008
NMBR;ENSG00000135577;NDNE;6;142379467;142409936;-1;1;1;0;1,02;0,26;0,07;-1,233;-0,203;0,00009;0,00017
SLC6A20;ENSG00000163817;NDNE;3;45796942;45838027;-1;-;-;-;0,18;0,1;-;-0,704;0,209;0,00027;0,00008
OTOA;ENSG00000155719;NDNE;16;21689835;21772050;1;-;-;-;0,29;0,31;0,25;-1,793;-0,231;-0,00009;-0,00032
PRSS58;ENSG00000258223;NDNE;7;141951963;141957878;-1;-;-;-;0;0,14;0,43;-0,347;0,648;0,00102;-0,00031
RHBDF2;ENSG00000129667;NDNE;17;74466973;74497872;-1;-;-;-;0,1;0,05;0,05;-1,115;0,423;-0,00063;-0,00038
GOLGA8A;ENSG00000175265;NDNE;15;34671269;34880704;-1;-;-;-;-;-;-;-0,174;0,823;0,0001;0,00001
C1orf141;ENSG00000203963;NDNE;1;67557848;67697536;-1;-;-;-;0,51;0,45;0,69;-0,634;0,755;-0,0031;-0,00025
SYTL3;ENSG00000164674;NDNE;6;159071046;159185908;1;2;0,22;103,74;0,27;0,38;0,21;-0,755;0,613;0,00032;0,00002
JDP2;ENSG00000140044;NDNE;14;75894419;75940814;1;8;0,31;13643,25;0,11;0,11;0,03;0,77;0,411;0,00002;-0,00003
TRIM67;ENSG00000119283;NDNE;1;231297858;231357302;1;-;-;-;0,07;0,06;0,04;-0,646;-0,81;-0,00128;-0,00061
PPRC1;ENSG00000148840;NDNE;10;103892787;103910082;1;3;0,23;27,13;0,68;0,5;0,35;-2,026;-1,314;0,00005;-0,00011
DNAJB5;ENSG00000137094;NDNE;9;34989638;34998897;1;2;0,25;451,22;0,23;0;0,01;-0,154;-0,685;0,00013;0,00007
HMGXB4;ENSG00000100281;NDNE;22;35653445;35691800;1;1;0,23;0;0,23;0,11;0,11;2,629;1,826;-0,00024;-0,00005
SCP2D1;ENSG00000132631;NDNE;20;18794370;18795033;1;-;-;-;0;0,62;0,23;-0,081;-0,03;0,00063;-0,00005
ZNF471;ENSG00000196263;NDNE;19;57019212;57041590;1;1;0;0;0,34;0,14;-;1,618;1,922;-0,00016;0,00025
RNF148;ENSG00000235631;NDNE;7;122341718;122343021;-1;-;-;-;-;-;0,19;-1,639;-1,496;0,00005;0,00001
PMF1;ENSG00000160783;NDNE;1;156182784;156212874;1;10;0,27;8124,78;1,27;0,55;0,35;-0,452;0,72;0,00003;-0,00008
ARHGAP42;ENSG00000165895;NDNE;11;100558384;100862668;1;-;-;-;0;0,06;0,03;-0,104;0,395;0,00036;-0,0002
CES4A;ENSG00000172824;NDNE;16;67022492;67043661;1;-;-;-;0,51;0,28;0,28;-1,508;-1,936;-0,00032;-0,00011
RTKN;ENSG00000114993;NDNE;2;74652963;74669549;-1;1;0,24;0;0,56;0,49;0,18;-1,491;-1,182;0,00011;-0,0001
FAM209B;ENSG00000213714;NDNE;20;55108302;55111576;1;-;-;-;2,66;-;-;1,147;1,456;0,0006;0,00008
NCAPD2;ENSG00000010292;NDNE;12;6602522;6641121;1;3;0,26;237,11;0,37;0,34;0,16;0,973;1,407;0,00009;0,00006
FAM208B;ENSG00000108021;NDNE;10;5726801;5805703;1;3;0,24;0;0,66;0,6;0,52;-0,757;-0,31;-0,00035;-0,00013
VPS29;ENSG00000111237;NDNE;12;110928902;110939922;-1;2;0,22;784,81;80;0,13;0,01;-0,741;-1,77;-0,00012;-0,00042
SPERT;ENSG00000174015;NDNE;13;46276446;46288694;1;4;0,23;131,8;0,08;0,12;0,12;-0,04;0,673;0,00031;-0,00002
OR4K17;ENSG00000176230;NDNE;14;20585566;20586597;1;-;-;-;0,86;0,49;-;2,621;-0,08;-;-
TOP2A;ENSG00000131747;NDNE;17;38544768;38574202;-1;22;0,33;19677,28;0,45;0,41;0,11;-1,432;-1,726;-0,00053;-0,00052
TRPM4;ENSG00000130529;NDNE;19;49660998;49715093;1;-;-;-;0,64;0,47;0,09;-0,75;-0,022;-0,00019;-0,00036
SYNCRIP;ENSG00000135316;NDNE;6;86267696;86353510;-1;26;0,32;93386,78;0;0;0,01;-1,782;-0,68;0,00002;0,00009
SLC20A2;ENSG00000168575;NDNE;8;42273993;42397069;-1;-;-;-;0,16;0,02;0,04;-1,521;-0,808;-0,00023;-0,00033
PHF20;ENSG00000025293;NDNE;20;34359896;34538303;1;1;0,23;0;0,75;0,09;0,12;-0,933;-1,465;-0,00064;-0,00086
EXOC3L1;ENSG00000179044;NDNE;16;67218269;67224107;-1;-;-;-;-;-;-;-1,602;-1,959;-0,00153;-0,00038
FBXW2;ENSG00000119402;NDNE;9;123514256;123555690;-1;6;0,27;476,25;0;0,29;0,05;-0,65;-0,808;0,00018;-0,00023
YY1AP1;ENSG00000163374;NDNE;1;155629237;155658791;-1;2;0,26;1168,17;0,81;0,68;-;0,225;-0,477;0,0001;-0,00001
LRRC2;ENSG00000163827;NDNE;3;46556913;46621589;-1;-;-;-;1,83;0,72;0,12;0,3;0,005;-0,00005;-0,00094
CYP2F1;ENSG00000197446;NDNE;19;41620337;41634271;1;-;-;-;-;0,01;0,12;0,248;0,353;-0,00081;-0,00116
OR56B4;ENSG00000180919;NDNE;11;6128914;6130065;1;-;-;-;0,72;-;-;0,26;0,191;0,00018;0,00023
DDX51;ENSG00000185163;NDNE;12;132621139;132628880;-1;-;-;-;0,16;0,18;0,16;-1,362;-1,309;0,00006;-0,00027
FAM72D;ENSG00000215784;NDNE;1;143896452;143913143;-1;-;-;-;-;-;-;-;-1,179;-;-0,00024
SPESP1;ENSG00000258484;NDNE;15;69110560;69239150;1;-;-;-;0,57;0,64;0,32;-0,63;-1,454;0,00009;-0,00044
LGALS12;ENSG00000133317;NDNE;11;63273556;63284246;1;-;-;-;0,35;0,23;0,35;-0,131;0,152;0,00035;-0,00005
TIMM17A;ENSG00000134375;NDNE;1;201924619;201939789;1;3;0,21;119,53;1,35;0,09;0,04;0,182;0,817;0,00053;0,00039
IGFBP2;ENSG00000115457;NDNE;2;217497551;217529159;1;1;0,2;0;0;0,03;0,09;-1,467;-0,801;-0,00169;-0,0005
BRD3;ENSG00000169925;NDNE;9;136895427;136933657;-1;-;-;-;0,05;0,05;0,03;-0,277;1,142;0,00032;0,00031
ACRBP;ENSG00000111644;NDNE;12;6747241;6756626;-1;-;-;-;0,29;0,33;0,23;-1,28;-1,197;-0,00026;-0,00033
GOLGA1;ENSG00000136935;NDNE;9;127640646;127710771;-1;3;0,21;303,16;0,25;0,28;0,21;1,562;0,885;0,00024;0,00008
PCDHGB6;ENSG00000253305;NDNE;5;140787770;140892546;1;-;-;-;-;-;0,15;-1,109;-0,779;0,00004;-0,00024
PARP4;ENSG00000102699;NDNE;13;24995064;25086948;-1;1;0,21;0;0,88;0,42;0,35;0,012;1,476;-0,00151;-0,00115
SPAM1;ENSG00000106304;NDNE;7;123565286;123611468;1;-;-;-;0,67;0,58;-;0,012;0,6;0,00002;0,00002
ARHGEF15;ENSG00000198844;NDNE;17;8213559;8225829;1;3;0,24;330,6;0,41;0,17;0,16;0,258;0,423;0,00032;0,00013
C16orf46;ENSG00000166455;NDNE;16;81087102;81110872;-1;-;-;-;0,91;0,73;0,47;-0,889;-0,641;-0,0006;-0,00177
NRM;ENSG00000137404;NDNE;6;30655824;30659197;-1;-;-;-;0,45;0,31;0,06;-1,989;-1,908;-0,00189;-0,00056
EXD2;ENSG00000081177;NDNE;14;69658228;69709075;1;-;-;-;0,31;0,32;0,17;-0,067;0,389;0,00012;0,00017
TMEM184A;ENSG00000164855;NDNE;7;1585796;1600457;-1;-;-;-;-;0,06;-;1,284;0,555;-0,00045;0
CRIPAK;ENSG00000179979;NDNE;4;1385340;1389780;1;-;-;-;0,6;-;-;1,695;1,133;0,00012;0,00001
B4GALT6;ENSG00000118276;NDNE;18;29202210;29265799;-1;-;-;-;0,09;0,02;0,05;-0,322;0,444;0,00025;0,00004
COPE;ENSG00000105669;NDNE;19;19010323;19030206;-1;7;0,31;1688,61;0;0,02;0,03;-0,381;-0,296;0,00047;0
ALDH3B1;ENSG00000006534;NDNE;11;67776048;67796744;1;-;-;-;-;0,12;0,08;0,664;-0,143;-0,00029;-0,00046
UBE3D;ENSG00000118420;NDNE;6;83602117;83775560;-1;-;-;-;0,57;0,64;0,27;-0,554;-0,449;-0,00023;-0,00039
OR4A16;ENSG00000181961;NDNE;11;55110627;55111707;1;-;-;-;1,02;-;-;-1,129;-;-0,0083;-
MEDAG;ENSG00000102802;NDNE;13;31480328;31499709;1;-;-;-;0,29;0,08;0,08;-0,125;0,096;-0,00008;-0,00015
NVL;ENSG00000143748;NDNE;1;224415036;224518089;-1;2;0,23;143;-;0,2;0,15;-1,78;-1,476;-0,0017;-0,00083
RIMKLA;ENSG00000177181;NDNE;1;42846466;42880850;1;-;-;-;0;0,05;0,1;0,044;1,965;0,00011;-0,00028
WHAMM;ENSG00000156232;NDNE;15;83478380;83503611;1;-;-;-;0,07;0,25;0,31;0,153;-0,131;0,0006;0,00035
THAP3;ENSG00000041988;NDNE;1;6684926;6695646;1;2;0,24;0;0,34;0,35;0,1;1,137;1,28;0,00052;0,00022
C18orf54;ENSG00000166845;NDNE;18;51884287;51911588;1;1;0,25;0;0,44;0,54;0,34;0,576;1,372;-0,00024;-0,00021
GPC1;ENSG00000063660;NDNE;2;241375088;241407493;1;2;0,21;17590;-;0,05;0,06;0,96;0,436;0,00011;-0,00019
RSAD1;ENSG00000136444;NDNE;17;48556161;48563336;1;-;-;-;0,78;0,19;0,13;0,535;-0,22;-0,00041;-0,00049
ZNF213;ENSG00000085644;NDNE;16;3179778;3192806;1;-;-;-;0,33;0,17;0,17;0,505;1,336;-0,00017;0,00008
ZNF774;ENSG00000196391;NDNE;15;90895477;90909324;1;-;-;-;-;-;-;0,392;0,331;-0,00013;-0,00025
PAPPA2;ENSG00000116183;NDNE;1;176432307;176814735;1;1;0,21;0;0,53;0,4;0,27;0,588;0,276;-0,00005;-0,00016
C2orf83;ENSG00000042304;NDNE;2;228474806;228498036;-1;-;-;-;1,92;-;-;1,164;0,235;0,00035;-0,00027
USP17L18;ENSG00000250844;NDNE;4;9250356;9251948;1;-;-;-;-;-;-;-;1,78;-;-
NCR3LG1;ENSG00000188211;NDNE;11;17373273;17398888;1;-;-;-;0,56;-;-;1,147;0,893;0,00034;0,00016
GRPEL2;ENSG00000164284;NDNE;5;148724993;148734146;1;-;-;-;0,2;0,5;0,17;0,568;1,255;0,00018;0,00011
CCDC42;ENSG00000161973;NDNE;17;8633252;8648537;-1;1;0,22;0;0,24;0,18;0,06;0,028;1,674;0,00007;0,0002
CRTC1;ENSG00000105662;NDNE;19;18794487;18893004;1;1;0,24;0;0,03;0,05;0,06;-1,001;-0,312;-0,00002;0,00002
IL17A;ENSG00000112115;NDNE;6;52051185;52055436;1;1;0;0;-;0,21;0,43;0,83;0,389;0,00032;-0,00057
NRN1L;ENSG00000188038;NDNE;16;67918708;67922758;1;-;-;-;1,14;0,84;0,19;-1,057;-1,629;0,00026;-0,00001
CYP4F12;ENSG00000186204;NDNE;19;15783567;15807984;1;-;-;-;0,6;0,33;-;1,768;1,986;-;-0,00005
OR8I2;ENSG00000172154;NDNE;11;55860753;55861762;1;-;-;-;1,81;0,45;0,13;0,507;1,433;-0,00056;-0,00306
N4BP2;ENSG00000078177;NDNE;4;40058446;40159872;1;7;0,28;1547,42;0,21;0,28;0,28;-0,409;0,469;0,00029;0,00017
NBR1;ENSG00000188554;NDNE;17;41322498;41363708;1;5;0,24;2078,5;0,84;0,5;0,25;0,704;1,429;0,00001;0,00001
TGM2;ENSG00000198959;NDNE;20;36756863;36794980;-1;7;0,26;10949,5;0,18;0,15;0,07;-1,016;0,344;-0,00019;-0,00036
ASAP2,DDEF2;ENSG00000151693;NDNE;2;9346894;9545812;1;5;0,27;1958,93;0,39;0,16;0,04;0,207;0,887;0,00009;-0,00009
ZNF133;ENSG00000125846;NDNE;20;18269121;18297640;1;-;-;-;0,25;0,29;-;-0,052;0,545;-0,00104;-0,00023
RPL37;ENSG00000145592;NDNE;5;40825364;40835437;-1;1;0,21;0;-;0,56;0;0,481;0,194;0,00039;0,00039
RUFY4;ENSG00000188282;NDNE;2;218899683;218955304;1;-;-;-;0,81;0,62;0,47;1,029;1,367;-0,00013;-0,00001
CRISP1;ENSG00000124812;NDNE;6;49801970;49844809;-1;-;-;-;0,46;1,13;0,3;0,146;0,347;-0,00034;-0,00049
MTFR1;ENSG00000066855;NDNE;8;66556969;66683496;1;-;-;-;1,51;0,41;0,31;-0,54;-0,148;-0,00004;-0,00035
RPS27;ENSG00000177954;NDNE;1;153963235;153964626;1;3;0,31;100,09;-;0,26;0;-0,897;-0,385;0,00013;0,00013
PCNP;ENSG00000081154;NDNE;3;101292939;101313281;1;2;0,3;0;-;-;0,09;-0,843;1,024;0,00023;0,0003
C3orf84;ENSG00000236980;NDNE;3;49215065;49229291;-1;-;-;-;-;-;0,33;-0,137;0,333;0,00016;-0,00006
IRX4;ENSG00000113430;NDNE;5;1877541;1887350;-1;1;0,25;0;0;0,14;0,09;0,621;0,981;-0,00009;-0,00012
MYLK3;ENSG00000140795;NDNE;16;46740891;46824319;-1;-;-;-;0,31;0,37;0,33;-0,251;-1,205;-0,00058;-0,00027
SMIM23;ENSG00000185662;NDNE;5;171212876;171221602;1;-;-;-;0,33;1,7;0,34;-0,969;0,523;0,00002;-0,0001
ASTE1;ENSG00000034533;NDNE;3;130732719;130746493;-1;-;-;-;0,11;0,51;0,36;0,881;1,105;-0,00044;-0,00035
OR2H2;ENSG00000204657;NDNE;6;29555683;29556745;1;-;-;-;0,36;0,41;-;-0,136;-0,607;-0,00015;-0,00013
PPID;ENSG00000171497;NDNE;4;159630286;159644548;-1;8;0,28;2107,46;1,09;-;0,07;0,182;-0,138;-0,00028;-0,00007
WDR3;ENSG00000065183;NDNE;1;118472343;118503049;1;2;0,24;47,74;0,2;0,13;0,08;-1,777;-1,494;-0,00179;-0,00107
STARD9;ENSG00000159433;NDNE;15;42867857;43013179;1;2;0,24;35,89;0,65;-;0,34;-0,939;-0,636;-0,00026;-0,0002
TSSC1;ENSG00000032389;NDNE;2;3192696;3381653;-1;2;0,22;211,79;0,43;0,01;0,04;0,425;0,645;-0,00095;-0,00096
MBD3L1;ENSG00000170948;NDNE;19;8943074;8954016;1;10;0,28;24,24;0,72;0,35;0,36;-0,722;0,686;0,00039;-0,00009
LRMP;ENSG00000118308;NDNE;12;25173936;25261268;1;2;0,26;0;0,97;0,59;0,25;1,96;0,968;0,00005;0
OR10V1;ENSG00000172289;NDNE;11;59480296;59481337;-1;-;-;-;0,33;-;0,12;-1,181;-1,68;-0,00312;-0,00081
FBP2;ENSG00000130957;NDNE;9;97321002;97356075;-1;1;0,24;0;0,07;0,32;0,05;-0,374;1,493;-0,00123;-0,0003
TMEM121;ENSG00000184986;NDNE;14;105992940;105996539;1;-;-;-;-;0,02;0,01;0,339;0,188;-0,0004;-0,0001
RPL7;ENSG00000147604;NDNE;8;74202506;74208024;-1;5;0,31;8777,21;-;0,63;0,05;-0,247;1,323;0,00038;0,00031
FEZF2;ENSG00000153266;NDNE;3;62355356;62359999;-1;-;-;-;0,17;0,08;0,04;0,313;-0,716;0,00005;-0,00032
CSHL1;ENSG00000204414;NDNE;17;61986957;61996198;-1;2;0,2;6,89;-;-;-;-0,373;0,082;-0,00178;-0,00031
PAPLN;ENSG00000100767;NDNE;14;73704205;73741348;1;-;-;-;0,28;0,23;0,2;0,01;0,169;0,00001;0,0001
AKAP3;ENSG00000111254;NDNE;12;4724674;4758213;-1;6;0,22;26524,02;0,65;0,38;0,25;0,515;0,732;-0,00154;-0,00034
