Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"GIMAP8","GTPase, IMAP Family Member 8","Protein Coding","39","GC07P150450","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIMAP8"
"RPL3P11","Ribosomal Protein L3 Pseudogene 11","Pseudogene","8","GC09M014031","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3P11"
"DUS3L","Dihydrouridine Synthase 3 Like","Protein Coding","39","GC19M005786","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUS3L"
"PRELID1","PRELI Domain Containing 1","Protein Coding","41","GC05P177305","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRELID1"
"PAN2","Poly(A) Specific Ribonuclease Subunit PAN2","Protein Coding","44","GC12M056316","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAN2"
"HIST1H2BA","Histone Cluster 1 H2B Family Member A","Protein Coding","42","GC06P025726","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIST1H2BA"
"NOP16","NOP16 Nucleolar Protein","Protein Coding","36","GC05M176383","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP16"
"ARL8B","ADP Ribosylation Factor Like GTPase 8B","Protein Coding","42","GC03P005122","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL8B"
"TMEM53","Transmembrane Protein 53","Protein Coding","37","GC01M044635","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM53"
"PHYHD1","Phytanoyl-CoA Dioxygenase Domain Containing 1","Protein Coding","36","GC09P128920","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHYHD1"
"MIR874","MicroRNA 874","RNA Gene","18","GC05M137647","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR874"
"MIR760","MicroRNA 760","RNA Gene","16","GC01P093846","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR760"
"MIR671","MicroRNA 671","RNA Gene","16","GC07P151238","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR671"
"FOXJ2","Forkhead Box J2","Protein Coding","40","GC12P008032","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXJ2"
"GPR26","G Protein-Coupled Receptor 26","Protein Coding","42","GC10P123666","0.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR26"
"C1orf105","Chromosome 1 Open Reading Frame 105","Protein Coding","37","GC01P172389","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf105"
"TMEM267","Transmembrane Protein 267","Protein Coding","26","GC05M043446","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM267"
"TSPAN5","Tetraspanin 5","Protein Coding","43","GC04M098470","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN5"
"LRRC59","Leucine Rich Repeat Containing 59","Protein Coding","41","GC17M050375","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC59"
"ZFC3H1","Zinc Finger C3H1-Type Containing","Protein Coding","37","GC12M071609","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFC3H1"
"AIDA","Axin Interactor, Dorsalization Associated","Protein Coding","39","GC01M222669","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIDA"
"FAM122A","Family With Sequence Similarity 122A","Protein Coding","37","GC09P068780","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM122A"
"MRPS24","Mitochondrial Ribosomal Protein S24","Protein Coding","42","GC07M043791","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS24"
"MXD1","MAX Dimerization Protein 1","Protein Coding","42","GC02P069878","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MXD1"
"PHF7","PHD Finger Protein 7","Protein Coding","40","GC03P052443","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF7"
"GGCT","Gamma-Glutamylcyclotransferase","Protein Coding","45","GC07M030496","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGCT"
"COPB1","Coatomer Protein Complex Subunit Beta 1","Protein Coding","42","GC11M014436","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPB1"
"GNGT2","G Protein Subunit Gamma Transducin 2","Protein Coding","45","GC17M049202","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNGT2"
"PDIA6","Protein Disulfide Isomerase Family A Member 6","Protein Coding","45","GC02M010774","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA6"
"ENY2","ENY2, Transcription And Export Complex 2 Subunit","Protein Coding","39","GC08P109334","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENY2"
"GNB2","G Protein Subunit Beta 2","Protein Coding","48","GC07P100673","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB2"
"TCF7L1","Transcription Factor 7 Like 1","Protein Coding","48","GC02P085133","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L1"
"LRRC7","Leucine Rich Repeat Containing 7","Protein Coding","44","GC01P069567","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC7"
"FAM32A","Family With Sequence Similarity 32 Member A","Protein Coding","40","GC19P019982","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM32A"
"RBM42","RNA Binding Motif Protein 42","Protein Coding","39","GC19P036735","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM42"
"LCMT1","Leucine Carboxyl Methyltransferase 1","Protein Coding","40","GC16P025926","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCMT1"
"STOML1","Stomatin Like 1","Protein Coding","40","GC15M073978","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STOML1"
"FRMD8","FERM Domain Containing 8","Protein Coding","38","GC11P065386","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRMD8"
"MAP3K15","Mitogen-Activated Protein Kinase Kinase Kinase 15","Protein Coding","40","GC0XM019288","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K15"
"ZBTB40","Zinc Finger And BTB Domain Containing 40","Protein Coding","41","GC01P022428","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB40"
"MRPL52","Mitochondrial Ribosomal Protein L52","Protein Coding","38","GC14P022829","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL52"
"CARNMT1","Carnosine N-Methyltransferase 1","Protein Coding","30","GC09M074982","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARNMT1"
"MYO7B","Myosin VIIB","Protein Coding","40","GC02P127535","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO7B"
"CDK5RAP1","CDK5 Regulatory Subunit Associated Protein 1","Protein Coding","42","GC20M033358","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP1"
"RBM46","RNA Binding Motif Protein 46","Protein Coding","39","GC04P154781","0.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM46"
"MBTPS1","Membrane Bound Transcription Factor Peptidase, Site 1","Protein Coding","46","GC16M084053","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBTPS1"
"ZCCHC8","Zinc Finger CCHC-Type Containing 8","Protein Coding","39","GC12M122472","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZCCHC8"
"RASL12","RAS Like Family 12","Protein Coding","42","GC15M065045","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASL12"
"GRAMD4","GRAM Domain Containing 4","Protein Coding","40","GC22P046576","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRAMD4"
"AGPAT3","1-Acylglycerol-3-Phosphate O-Acyltransferase 3","Protein Coding","44","GC21P043865","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPAT3"
"DIXDC1","DIX Domain Containing 1","Protein Coding","42","GC11P111927","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIXDC1"
"PRR14","Proline Rich 14","Protein Coding","38","GC16P030662","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRR14"
"PATL1","PAT1 Homolog 1, Processing Body MRNA Decay Factor","Protein Coding","40","GC11M059636","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PATL1"
"LRRIQ3","Leucine Rich Repeats And IQ Motif Containing 3","Protein Coding","35","GC01M074026","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRIQ3"
"DYNC1LI2","Dynein Cytoplasmic 1 Light Intermediate Chain 2","Protein Coding","41","GC16M066754","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1LI2"
"FZR1","Fizzy And Cell Division Cycle 20 Related 1","Protein Coding","46","GC19P003506","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZR1"
"TOB1","Transducer Of ERBB2, 1","Protein Coding","46","GC17M050862","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOB1"
"SESN3","Sestrin 3","Protein Coding","43","GC11M095166","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SESN3"
"RBMS2","RNA Binding Motif Single Stranded Interacting Protein 2","Protein Coding","41","GC12P056523","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMS2"
"RNF34","Ring Finger Protein 34","Protein Coding","43","GC12P121400","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF34"
"INTS6","Integrator Complex Subunit 6","Protein Coding","41","GC13M051354","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS6"
"CDH19","Cadherin 19","Protein Coding","41","GC18M066501","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH19"
"COX11","COX11, Cytochrome C Oxidase Copper Chaperone","Protein Coding","44","GC17M054951","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX11"
"NAP1L4","Nucleosome Assembly Protein 1 Like 4","Protein Coding","45","GC11M002944","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAP1L4"
"UBXN11","UBX Domain Protein 11","Protein Coding","40","GC01M026281","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBXN11"
"STX6","Syntaxin 6","Protein Coding","45","GC01M180950","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX6"
"EXOSC7","Exosome Component 7","Protein Coding","43","GC03P045105","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC7"
"FAM3A","Family With Sequence Similarity 3 Member A","Protein Coding","40","GC0XM154506","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM3A"
"ERP29","Endoplasmic Reticulum Protein 29","Protein Coding","42","GC12P112013","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERP29"
"SNRNP40","Small Nuclear Ribonucleoprotein U5 Subunit 40","Protein Coding","41","GC01M031259","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP40"
"RETSAT","Retinol Saturase","Protein Coding","45","GC02M085344","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETSAT"
"DDX47","DEAD-Box Helicase 47","Protein Coding","43","GC12P012814","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX47"
"ACTBL2","Actin, Beta Like 2","Protein Coding","38","GC05M057480","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTBL2"
"MIR769","MicroRNA 769","RNA Gene","15","GC19P046018","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR769"
"MIR1285-2","MicroRNA 1285-2","RNA Gene","13","GC02M070252","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1285-2"
"SARNP","SAP Domain Containing Ribonucleoprotein","Protein Coding","40","GC12M055752","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SARNP"
"NOMO2","NODAL Modulator 2","Protein Coding","36","GC16M018431","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOMO2"
"NUDT3","Nudix Hydrolase 3","Protein Coding","44","GC06M038450","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT3"
"ANXA10","Annexin A10","Protein Coding","41","GC04P168081","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA10"
"GAL3ST1","Galactose-3-O-Sulfotransferase 1","Protein Coding","42","GC22M030554","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL3ST1"
"ELOVL6","ELOVL Fatty Acid Elongase 6","Protein Coding","45","GC04M110045","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOVL6"
"PPP1R9A","Protein Phosphatase 1 Regulatory Subunit 9A","Protein Coding","44","GC07P094907","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R9A"
"RPL29","Ribosomal Protein L29","Protein Coding","44","GC03M052029","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL29"
"HSF5","Heat Shock Transcription Factor 5","Protein Coding","36","GC17M058420","0.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF5"
"ACTL6B","Actin Like 6B","Protein Coding","45","GC07M100643","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL6B"
"ENAH","ENAH, Actin Regulator","Protein Coding","45","GC01M225486","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENAH"
"RIOK1","RIO Kinase 1","Protein Coding","46","GC06P007389","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIOK1"
"RMND5A","Required For Meiotic Nuclear Division 5 Homolog A","Protein Coding","42","GC02P086721","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMND5A"
"MIR5004","MicroRNA 5004","RNA Gene","14","GC06P033410","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR5004"
"TRMT2A","TRNA Methyltransferase 2 Homolog A","Protein Coding","42","GC22M020099","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT2A"
"SURF4","Surfeit 4","Protein Coding","43","GC09M133361","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF4"
"SPATA48","Spermatogenesis Associated 48","Protein Coding","24","GC07P050095","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA48"
"APOC1P1","Apolipoprotein C1 Pseudogene 1","Pseudogene","16","GC19P044926","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC1P1"
"UPF3A","UPF3A, Regulator Of Nonsense Mediated MRNA Decay","Protein Coding","40","GC13P114281","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPF3A"
"DCTPP1","DCTP Pyrophosphatase 1","Protein Coding","40","GC16M030435","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTPP1"
"SLCO2B1","Solute Carrier Organic Anion Transporter Family Member 2B1","Protein Coding","50","GC11P075432","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2B1"
"MRPL1","Mitochondrial Ribosomal Protein L1","Protein Coding","44","GC04P077862","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL1"
"RGS3","Regulator Of G Protein Signaling 3","Protein Coding","45","GC09P114252","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS3"
"ANKS4B","Ankyrin Repeat And Sterile Alpha Motif Domain Containing 4B","Protein Coding","38","GC16P021244","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKS4B"
"GTPBP1","GTP Binding Protein 1","Protein Coding","42","GC22P038705","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTPBP1"
"ZNF684","Zinc Finger Protein 684","Protein Coding","38","GC01P040531","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF684"
"RNU6-1276P","RNA, U6 Small Nuclear 1276, Pseudogene","Pseudogene","10","GC08P027773","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU6-1276P"
"RPL7P51","Ribosomal Protein L7 Pseudogene 51","Pseudogene","10","GC19P051648","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7P51"
"SUMO2P6","SUMO2 Pseudogene 6","Pseudogene","8","GC05P174562","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO2P6"
"ENSG00000260634","","RNA Gene","6","GC02M127024","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000260634"
"LOC107985820","Uncharacterized LOC107985820","RNA Gene","4","GC02U904101","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107985820"
"GC01M207468","","RNA Gene","4","GC01M207468","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC01M207468"
"GC01P207523","","RNA Gene","4","GC01P207523","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC01P207523"
"LOC105377740","Uncharacterized LOC105377740","RNA Gene","4","GC05P174615","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC105377740"
"LOC105377009","Uncharacterized LOC105377009","RNA Gene","4","GC03M029037","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC105377009"
"LOC107985819","Uncharacterized LOC107985819","RNA Gene","3","GC02U904220","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107985819"
"ATP6V1G1","ATPase H+ Transporting V1 Subunit G1","Protein Coding","44","GC09P114707","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1G1"
"C16orf70","Chromosome 16 Open Reading Frame 70","Protein Coding","40","GC16P067143","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C16orf70"
"FSIP1","Fibrous Sheath Interacting Protein 1","Protein Coding","40","GC15M039594","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSIP1"
"TRAPPC2L","Trafficking Protein Particle Complex 2 Like","Protein Coding","40","GC16P088856","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2L"
"ZNF844","Zinc Finger Protein 844","Protein Coding","35","GC19P012106","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF844"
"HCG25","HLA Complex Group 25","RNA Gene","14","GC06P033311","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG25"
"GC06P032612","","RNA Gene","4","GC06P032612","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC06P032612"
"NASP","Nuclear Autoantigenic Sperm Protein","Protein Coding","42","GC01P045583","0.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NASP"
"RALGDS","Ral Guanine Nucleotide Dissociation Stimulator","Protein Coding","48","GC09M133097","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALGDS"
"LINCR-0001","Uncharacterized LINCR-0001","RNA Gene","8","GC08P010473","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINCR-0001"
"RABL3","RAB, Member Of RAS Oncogene Family Like 3","Protein Coding","36","GC03M120686","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABL3"
"AIFM3","Apoptosis Inducing Factor, Mitochondria Associated 3","Protein Coding","42","GC22P020965","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM3"
"C9orf43","Chromosome 9 Open Reading Frame 43","Protein Coding","37","GC09P113410","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf43"
"ZC2HC1A","Zinc Finger C2HC-Type Containing 1A","Protein Coding","35","GC08P078666","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC2HC1A"
"TAF1C","TATA-Box Binding Protein Associated Factor, RNA Polymerase I Subunit C","Protein Coding","41","GC16M084177","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF1C"
"C10orf71","Chromosome 10 Open Reading Frame 71","Protein Coding","34","GC10P049297","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C10orf71"
"LLPH","LLP Homolog, Long-Term Synaptic Facilitation Factor","Protein Coding","36","GC12M066116","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LLPH"
"ACAA2","Acetyl-CoA Acyltransferase 2","Protein Coding","49","GC18M049782","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAA2"
"MRPL20","Mitochondrial Ribosomal Protein L20","Protein Coding","42","GC01M001401","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL20"
"APEX2","Apurinic/Apyrimidinic Endodeoxyribonuclease 2","Protein Coding","41","GC0XP055043","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APEX2"
"KCNAB3","Potassium Voltage-Gated Channel Subfamily A Regulatory Beta Subunit 3","Protein Coding","43","GC17M007922","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNAB3"
"FCHO1","FCH Domain Only 1","Protein Coding","39","GC19P020021","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCHO1"
"RAMP1","Receptor Activity Modifying Protein 1","Protein Coding","50","GC02P237858","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAMP1"
"LMO4","LIM Domain Only 4","Protein Coding","45","GC01P087329","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMO4"
"AZIN1","Antizyme Inhibitor 1","Protein Coding","44","GC08M102826","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AZIN1"
"PLXNB2","Plexin B2","Protein Coding","43","GC22M050274","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLXNB2"
"HYI","Hydroxypyruvate Isomerase (Putative)","Protein Coding","39","GC01M043450","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYI"
"CACTIN","Cactin, Spliceosome C Complex Subunit","Protein Coding","32","GC19M003610","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACTIN"
"TSPOAP1","TSPO Associated Protein 1","Protein Coding","29","GC17M058302","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPOAP1"
"PKNOX1","PBX/Knotted 1 Homeobox 1","Protein Coding","45","GC21P042974","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKNOX1"
"ARL6IP6","ADP Ribosylation Factor Like GTPase 6 Interacting Protein 6","Protein Coding","39","GC02P152717","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6IP6"
"TXNRD3","Thioredoxin Reductase 3","Protein Coding","44","GC03M126607","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD3"
"RFX4","Regulatory Factor X4","Protein Coding","40","GC12P106583","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX4"
"ANGPTL7","Angiopoietin Like 7","Protein Coding","43","GC01P011189","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL7"
"IQUB","IQ Motif And Ubiquitin Domain Containing","Protein Coding","36","GC07M123451","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQUB"
"ERP44","Endoplasmic Reticulum Protein 44","Protein Coding","46","GC09M099979","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERP44"
"WDR45B","WD Repeat Domain 45B","Protein Coding","42","GC17M082614","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR45B"
"TSKS","Testis Specific Serine Kinase Substrate","Protein Coding","39","GC19M049739","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSKS"
"COPS7B","COP9 Signalosome Subunit 7B","Protein Coding","41","GC02P231781","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPS7B"
"C15orf39","Chromosome 15 Open Reading Frame 39","Protein Coding","38","GC15P075195","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C15orf39"
"USP14","Ubiquitin Specific Peptidase 14","Protein Coding","52","GC18P000158","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP14"
"TP53TG5","TP53 Target 5","Protein Coding","37","GC20M045372","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53TG5"
"SPZ1","Spermatogenic Leucine Zipper 1","Protein Coding","37","GC05P080319","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPZ1"
"ATG13","Autophagy Related 13","Protein Coding","43","GC11P046638","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG13"
"RCOR3","REST Corepressor 3","Protein Coding","38","GC01P211258","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCOR3"
"SRSF8","Serine And Arginine Rich Splicing Factor 8","Protein Coding","33","GC11P095066","0.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF8"
"TARBP1","TAR (HIV-1) RNA Binding Protein 1","Protein Coding","44","GC01M234391","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARBP1"
"DNAJC14","DnaJ Heat Shock Protein Family (Hsp40) Member C14","Protein Coding","37","GC12M055820","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC14"
"AMMECR1L","AMMECR1 Like","Protein Coding","37","GC02M127861","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMMECR1L"
"C3orf67","Chromosome 3 Open Reading Frame 67","Protein Coding","37","GC03M058703","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3orf67"
"STRIP1","Striatin Interacting Protein 1","Protein Coding","37","GC01P110032","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRIP1"
"SCAANT1","SCA7/ATXN7 Antisense RNA 1","RNA Gene","12","GC03M063911","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAANT1"
"TM9SF2","Transmembrane 9 Superfamily Member 2","Protein Coding","43","GC13P099446","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM9SF2"
"NFAT5","Nuclear Factor Of Activated T Cells 5","Protein Coding","46","GC16P069599","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFAT5"
"FN3KRP","Fructosamine 3 Kinase Related Protein","Protein Coding","45","GC17P082716","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN3KRP"
"CNOT7","CCR4-NOT Transcription Complex Subunit 7","Protein Coding","45","GC08M017224","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT7"
"MRPL48","Mitochondrial Ribosomal Protein L48","Protein Coding","41","GC11P073787","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL48"
"BLOC1S1","Biogenesis Of Lysosomal Organelles Complex 1 Subunit 1","Protein Coding","40","GC12P055718","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLOC1S1"
"PFKFB1","6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 1","Protein Coding","47","GC0XM054976","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKFB1"
"LRRC49","Leucine Rich Repeat Containing 49","Protein Coding","37","GC15P070853","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC49"
"NEK10","NIMA Related Kinase 10","Protein Coding","40","GC03M027128","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK10"
"AKAP11","A-Kinase Anchoring Protein 11","Protein Coding","43","GC13P042272","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP11"
"NFYA","Nuclear Transcription Factor Y Subunit Alpha","Protein Coding","45","GC06P041983","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYA"
"SNRPG","Small Nuclear Ribonucleoprotein Polypeptide G","Protein Coding","42","GC02M070281","0.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPG"
